trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2023-02-10,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004834355024512617,1247490.3340753485,-0.005941999999999999,1018718.2479251258,228772.0861502227
2023-02-13,方案B_LGBM打分,A,2023,2021,2,14,12,0.0037103785281153248,1252118.995424933,0.009075,1027963.1160250462,224155.87939988682
2023-02-14,方案B_LGBM打分,A,2023,2021,2,14,12,0.004237479194537495,1257424.8236171312,0.000414,1028388.6927550805,229036.1308620507
2023-02-15,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005955334412583557,1249936.4382938072,-0.005211,1023029.7592771339,226906.67901667336
2023-02-16,方案B_LGBM打分,A,2023,2021,2,14,12,-0.009088525258892541,1238576.3594023637,-0.007324000000000001,1015537.089320188,223039.27008217562
2023-02-17,方案B_LGBM打分,A,2023,2021,2,14,12,-0.006817311445746738,1230132.5986109786,-0.014408,1000905.2309372628,229227.3676737158
2023-02-20,方案B_LGBM打分,A,2023,2021,2,14,12,0.02217024822524603,1257404.9436721508,0.024533999999999997,1025461.4398730777,231943.50379907317
2023-02-21,方案B_LGBM打分,A,2023,2021,2,14,12,0.0074069528776083415,1266718.4828380023,0.0026279999999999997,1028156.3525370642,238562.13030093804
2023-02-22,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005217558729891297,1260109.3047595562,-0.009025,1018877.2414554172,241232.06330413895
2023-02-23,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0018014746086800852,1257839.2498428703,-0.000805,1018057.0452760458,239782.20456682448
2023-02-24,方案B_LGBM打分,A,2023,2021,2,14,12,-0.006510114131737697,1249650.572767014,-0.010381,1007488.5950890351,242161.9776779788
2023-02-27,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0024500859479677783,1246588.8214588074,-0.004236,1003220.8734002379,243367.94805856957
2023-02-28,方案B_LGBM打分,A,2023,2021,2,14,12,0.006945928779780748,1255247.5386303312,0.006333999999999999,1009575.2744123552,245672.26421797602
2023-03-01,方案B_LGBM打分,A,2023,2021,2,14,12,0.009675012320054827,1267392.074031298,0.014125,1023835.5251634297,243556.54886786838
2023-03-02,方案B_LGBM打分,A,2023,2021,2,14,12,0.004213684043617262,1272732.4637906507,-0.00223,1021552.3719423151,251180.09184833558
2023-03-03,方案B_LGBM打分,A,2023,2021,2,14,12,0.012439506597974695,1288564.6276714313,0.0031119999999999997,1024731.4429237997,263833.18474763155
2023-03-06,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003108192141258089,1284559.5212221998,-0.005215,1019387.4684489521,265172.0527732477
2023-03-07,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00861398037095191,1273494.3507210724,-0.014641,1004462.616523391,269031.7341976814
2023-03-08,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0066116207245834335,1265074.489079205,-0.0036420000000000003,1000804.3636740127,264270.1254051924
2023-03-09,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004188108495613786,1259776.2198639081,-0.003534,997267.5210527887,262508.6988111194
2023-03-10,方案B_LGBM打分,A,2023,2021,2,14,12,-0.013002298011234897,1243396.2340257706,-0.013113999999999999,984189.3547817024,259206.87924406817
2023-03-13,方案B_LGBM打分,A,2023,2021,2,14,12,0.015561348118136123,1262745.155672225,0.010474,994497.7540836862,268247.4015885388
2023-03-14,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005852596364342849,1255354.817965046,-0.005985000000000001,988545.6850254952,266809.1329395508
2023-03-15,方案B_LGBM打分,A,2023,2021,2,14,12,0.011752909534125305,1270108.8895738176,0.000554,989093.3393349993,281015.5502388183
2023-03-16,方案B_LGBM打分,A,2023,2021,2,14,12,-0.010081064265665712,1257304.8402336307,-0.011977,977246.968409784,280057.8718238467
2023-03-17,方案B_LGBM打分,A,2023,2021,2,14,12,0.008233666460772032,1267657.0689276287,0.004993,982126.3625230541,285530.70640457456
2023-03-20,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0067637482473453985,1259082.9556494344,-0.004987,977228.4983531516,281854.45729628275
2023-03-21,方案B_LGBM打分,A,2023,2021,2,14,12,0.00559846819292667,1266131.8915288937,0.010993,987971.1712355479,278160.72029334586
2023-03-22,方案B_LGBM打分,A,2023,2021,2,14,12,0.0020474160651417403,1268724.1903041983,0.004285,992204.6277042923,276519.562599906
2023-03-23,方案B_LGBM打分,A,2023,2021,2,14,12,0.007927398888467496,1278781.8730401879,0.009913,1002040.3521787251,276741.5208614628
2023-03-24,方案B_LGBM打分,A,2023,2021,2,14,12,-0.006107422892180969,1270971.8113546763,-0.0029820000000000003,999052.2678485281,271919.54350614815
2023-03-27,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005601385360761352,1263852.6084566137,-0.003618,995437.6967434521,268414.9117131616
2023-03-28,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0018686778975448663,1261490.8750214365,-0.003231,992221.437545274,269269.43747616245
2023-03-29,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0045552639638029024,1255744.451097785,0.001658,993866.540688724,261877.910409061
2023-03-30,方案B_LGBM打分,A,2023,2021,2,14,12,0.010845361349632312,1269363.453432736,0.008083,1001899.9639371111,267463.4894956249
2023-03-31,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0010699007701089058,1268005.36049636,0.00307,1004975.7968263979,263029.5636699622
2023-04-03,方案B_LGBM打分,A,2023,2021,2,14,12,0.0010116681646195242,1269288.1611521412,0.009786,1014810.489974141,254477.67117800016
2023-04-04,方案B_LGBM打分,A,2023,2021,2,14,12,0.01811542850535085,1292281.860088181,0.003065,1017920.884125912,274360.975962269
2023-04-06,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0035812982444359265,1287653.813331331,-0.001576,1016316.6408125295,271337.1725188014
2023-04-07,方案B_LGBM打分,A,2023,2021,2,14,12,0.0053449414254192655,1294536.2475398045,0.006503,1022925.7479277333,271610.4996120712
2023-04-10,方案B_LGBM打分,A,2023,2021,2,14,12,0.008081628033835905,1304998.2079687389,-0.004479,1018344.0635027649,286654.14446597395
2023-04-11,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0050958826774950465,1298348.0902065889,-0.001136,1017187.2246466258,281160.86555996304
2023-04-12,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00010039682150632852,1298217.7401851234,-0.000698,1016477.2279638225,281740.51222130086
2023-04-13,方案B_LGBM打分,A,2023,2021,2,14,12,0.004480899090462426,1304034.922876341,-0.006908999999999999,1009454.3867958206,294580.5360805205
2023-04-14,方案B_LGBM打分,A,2023,2021,2,14,12,0.006746811451840501,1312833.0006276031,0.005657,1015164.8702619245,297668.1303656787
2023-04-17,方案B_LGBM打分,A,2023,2021,2,14,12,0.014990110281917832,1332512.5120887521,0.014024000000000002,1029401.5424024778,303110.9696862743
2023-04-18,方案B_LGBM打分,A,2023,2021,2,14,12,0.0050464966502470525,1339237.0320174203,0.0030480000000000004,1032539.1583037204,306697.87371369987
2023-04-19,方案B_LGBM打分,A,2023,2021,2,14,12,-0.009855854221668866,1326037.707061596,-0.009004,1023242.1757223537,302795.53133924224
2023-04-20,方案B_LGBM打分,A,2023,2021,2,14,12,0.0032534678506226287,1330351.9281102342,-0.002798,1020379.1441146826,309972.78399555164
2023-04-21,方案B_LGBM打分,A,2023,2021,2,14,12,-0.012429574587517552,1313816.2195921403,-0.01956,1000420.5280557994,313395.69153634086
2023-04-24,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004938359315800824,1307328.1230248674,-0.01238,988035.3219184687,319292.8011063987
2023-04-25,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005653111326636216,1299937.6516049653,-0.0050160000000000005,983079.3367437256,316858.31486123975
2023-04-26,方案B_LGBM打分,A,2023,2021,2,14,12,0.0013177776896222682,1301650.6804401502,-0.000866,982227.9900381054,319422.6904020448
2023-04-27,方案B_LGBM打分,A,2023,2021,2,14,12,0.007503041040966875,1311417.0189164951,0.007372,989468.9747806663,321948.04413582885
2023-04-28,方案B_LGBM打分,A,2023,2021,2,14,12,0.018490212701673503,1335665.3985368558,0.010196,999557.60044753,336107.7980893258
2023-05-04,方案B_LGBM打分,A,2023,2021,2,14,12,0.004219660774008797,1341301.4534262626,0.000288,999845.473036459,341455.98038980365
2023-05-05,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0132713535026067,1323500.5676842825,-0.003317,996528.985602397,326971.58208188554
2023-05-08,方案B_LGBM打分,A,2023,2021,2,14,12,0.014288722447470481,1342411.6999549926,0.011397999999999998,1007887.4229802932,334524.27697469946
2023-05-09,方案B_LGBM打分,A,2023,2021,2,14,12,-0.007479407095064422,1332371.2563618517,-0.008563,999256.882977313,333114.3733845387
2023-05-10,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003972778431700001,1327078.0405715604,-0.007698,991564.6034921536,335513.4370794068
2023-05-11,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00200596216569654,1324415.9722312472,-0.001553,990024.7036629303,334391.26856831694
2023-05-12,方案B_LGBM打分,A,2023,2021,2,14,12,-0.010855571558118495,1310038.679871976,-0.013255999999999999,976900.9361911744,333137.7436808015
2023-05-15,方案B_LGBM打分,A,2023,2021,2,14,12,0.013165832724927162,1327286.4299943547,0.015523,992065.3694236701,335221.0605706846
2023-05-16,方案B_LGBM打分,A,2023,2021,2,14,12,0.0012764572710982358,1328980.6544087508,-0.0051719999999999995,986934.4073330108,342046.24707574
2023-05-17,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005173680404518248,1322104.9332390523,-0.004535,982458.6597957556,339646.27344329667
2023-05-18,方案B_LGBM打分,A,2023,2021,2,14,12,0.0008309525209540906,1323203.539666293,-0.001034,981442.7975415268,341760.7421247661
2023-05-19,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0009557685427384888,1321938.8633474398,-0.002914,978582.873229491,343355.99011794885
