scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,annual_return,turnover_cost,holdings,tradable_holdings
方案B_LGBM打分,A,2023,2021,2,14,12,0.03567028621588131,0.0010833333333333333,"600196.SH,600276.SH,600406.SH,600438.SH,600519.SH,600570.SH,600588.SH,600887.SH,600900.SH,601088.SH,601166.SH,601390.SH,601766.SH,601919.SH","600196.SH,600276.SH,600406.SH,600438.SH,600519.SH,600887.SH,600900.SH,601088.SH,601166.SH,601390.SH,601766.SH,601919.SH"
方案B_LGBM打分,A,2024,2022,2,13,12,0.29638298873670377,0.001,"600030.SH,600036.SH,600089.SH,600196.SH,600276.SH,600406.SH,600690.SH,600887.SH,600900.SH,601166.SH,601390.SH,601857.SH,601988.SH","600030.SH,600036.SH,600089.SH,600276.SH,600406.SH,600690.SH,600887.SH,600900.SH,601166.SH,601390.SH,601857.SH,601988.SH"
方案B_LGBM打分,B,2018,2016,2,15,14,-0.17496044237593844,0.001,"600028.SH,600048.SH,600406.SH,600518.SH,600519.SH,600637.SH,600703.SH,601088.SH,601318.SH,601398.SH,601601.SH,601628.SH,601766.SH,601857.SH,601899.SH","600028.SH,600048.SH,600406.SH,600518.SH,600519.SH,600703.SH,601088.SH,601318.SH,601398.SH,601601.SH,601628.SH,601766.SH,601857.SH,601899.SH"
方案B_LGBM打分,B,2019,2017,2,14,13,0.1430133633952737,0.0013076923076923077,"600028.SH,600089.SH,600104.SH,600518.SH,600519.SH,600606.SH,600703.SH,600893.SH,601006.SH,601186.SH,601328.SH,601390.SH,601857.SH,601899.SH","600028.SH,600089.SH,600104.SH,600519.SH,600606.SH,600703.SH,600893.SH,601006.SH,601186.SH,601328.SH,601390.SH,601857.SH,601899.SH"
方案B_LGBM打分,B,2020,2018,2,15,11,0.22746710228993616,0.0012727272727272728,"600010.SH,600019.SH,600029.SH,600031.SH,600050.SH,600104.SH,600111.SH,600547.SH,600606.SH,600703.SH,600893.SH,601006.SH,601088.SH,601186.SH,601390.SH","600010.SH,600031.SH,600050.SH,600104.SH,600111.SH,600547.SH,600703.SH,600893.SH,601088.SH,601186.SH,601390.SH"
方案B_LGBM打分,B,2021,2019,2,14,13,0.17616086146747634,0.0007692307692307693,"600028.SH,600050.SH,600089.SH,600104.SH,600150.SH,600547.SH,600585.SH,600703.SH,600893.SH,601088.SH,601111.SH,601186.SH,601766.SH,601899.SH","600028.SH,600050.SH,600089.SH,600104.SH,600150.SH,600547.SH,600585.SH,600703.SH,600893.SH,601088.SH,601186.SH,601766.SH,601899.SH"
方案B_LGBM打分,B,2022,2020,2,14,13,-0.08018963109769595,0.0010769230769230769,"600028.SH,600030.SH,600036.SH,600089.SH,600104.SH,600111.SH,600309.SH,600519.SH,600547.SH,600690.SH,600703.SH,600893.SH,601088.SH,601857.SH","600028.SH,600030.SH,600036.SH,600089.SH,600104.SH,600111.SH,600309.SH,600519.SH,600547.SH,600690.SH,600893.SH,601088.SH,601857.SH"
方案B_LGBM打分,B,2023,2021,2,14,13,0.07203980588135273,0.0010769230769230769,"600028.SH,600031.SH,600036.SH,600050.SH,600089.SH,600150.SH,600309.SH,600547.SH,600585.SH,600690.SH,600809.SH,601328.SH,601857.SH,601899.SH","600028.SH,600031.SH,600036.SH,600050.SH,600089.SH,600150.SH,600309.SH,600585.SH,600690.SH,600809.SH,601328.SH,601857.SH,601899.SH"
方案B_LGBM打分,B,2024,2022,2,13,10,0.2193915896501859,0.0009000000000000001,"600010.SH,600028.SH,600031.SH,600050.SH,600309.SH,600346.SH,600519.SH,600585.SH,600809.SH,601088.SH,601328.SH,601766.SH,601899.SH","600028.SH,600031.SH,600050.SH,600309.SH,600519.SH,600809.SH,601088.SH,601328.SH,601766.SH,601899.SH"
方案B_LGBM打分,C,2018,2016,2,14,12,-0.21266763943402867,0.001,"600010.SH,600029.SH,600031.SH,600050.SH,600089.SH,600100.SH,600111.SH,600547.SH,600893.SH,601166.SH,601186.SH,601390.SH,601919.SH,601998.SH","600010.SH,600029.SH,600031.SH,600050.SH,600089.SH,600111.SH,600547.SH,600893.SH,601166.SH,601186.SH,601390.SH,601919.SH"
方案B_LGBM打分,C,2019,2017,2,14,14,0.38218138603847707,0.001,"600010.SH,600029.SH,600031.SH,600036.SH,600111.SH,600150.SH,600547.SH,601169.SH,601318.SH,601398.SH,601601.SH,601628.SH,601919.SH,601988.SH","600010.SH,600029.SH,600031.SH,600036.SH,600111.SH,600150.SH,600547.SH,601169.SH,601318.SH,601398.SH,601601.SH,601628.SH,601919.SH,601988.SH"
方案B_LGBM打分,C,2020,2018,2,15,14,0.01552490937386719,0.001,"600000.SH,600016.SH,600036.SH,600150.SH,600309.SH,600585.SH,601166.SH,601169.SH,601318.SH,601328.SH,601398.SH,601601.SH,601628.SH,601939.SH,601988.SH","600000.SH,600016.SH,600036.SH,600150.SH,600309.SH,600585.SH,601166.SH,601318.SH,601328.SH,601398.SH,601601.SH,601628.SH,601939.SH,601988.SH"
方案B_LGBM打分,C,2021,2019,2,14,13,0.2598396047254672,0.0008461538461538462,"600000.SH,600010.SH,600036.SH,600048.SH,600111.SH,601318.SH,601328.SH,601398.SH,601601.SH,601628.SH,601857.SH,601919.SH,601939.SH,601988.SH","600000.SH,600010.SH,600036.SH,600048.SH,600111.SH,601318.SH,601328.SH,601398.SH,601601.SH,601628.SH,601857.SH,601919.SH,601988.SH"
方案B_LGBM打分,C,2022,2020,2,14,14,-0.11917886528570132,0.0007857142857142857,"600000.SH,600010.SH,600031.SH,600050.SH,600406.SH,600585.SH,600745.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601919.SH","600000.SH,600010.SH,600031.SH,600050.SH,600406.SH,600585.SH,600745.SH,601318.SH,601328.SH,601390.SH,601398.SH,601601.SH,601628.SH,601919.SH"
方案B_LGBM打分,C,2023,2021,2,14,13,-0.06545677777259729,0.0011538461538461537,"600000.SH,600010.SH,600030.SH,600048.SH,600104.SH,600111.SH,600436.SH,600745.SH,600893.SH,601318.SH,601398.SH,601601.SH,601628.SH,601988.SH","600010.SH,600030.SH,600048.SH,600104.SH,600111.SH,600436.SH,600745.SH,600893.SH,601318.SH,601398.SH,601601.SH,601628.SH,601988.SH"
方案B_LGBM打分,C,2024,2022,2,13,12,0.2403227107193815,0.0005833333333333334,"600048.SH,600104.SH,600111.SH,600150.SH,600436.SH,600438.SH,600745.SH,600893.SH,601318.SH,601398.SH,601601.SH,601628.SH,601919.SH","600048.SH,600104.SH,600111.SH,600150.SH,600436.SH,600438.SH,600893.SH,601318.SH,601398.SH,601601.SH,601628.SH,601919.SH"
