scheme,样本,year,group,stock_count,fcff_growth_3y_ann_mean,fcff_growth_1y_mean,raw_fcff_growth_3y_ann_mean,raw_fcff_growth_1y_mean,avg_score,traditional_score_mean
方案B_LGBM打分,测试集,2020,A,13,0.617143298419814,1.148772438552375,0.6838271224210778,1.148772438552375,5.491466568909847,7.462946630933614
方案B_LGBM打分,测试集,2020,B,9,0.17928348151458484,1.7581736228698004,0.17928348151458484,1.7581736228698004,-0.02236484977332733,7.00213970236975
方案B_LGBM打分,测试集,2020,C,12,-0.12893453367454882,1.019286587814128,-0.12893453367454882,1.019286587814128,-2.422683277210709,7.751154272524488
方案B_LGBM打分,测试集,2021,A,13,0.2102380201830636,2.7445240206546155,0.2102380201830636,2.998421450266316,4.612035687867417,7.848325117398515
方案B_LGBM打分,测试集,2021,B,14,-0.01801198964845941,0.3144707361046136,-0.01801198964845941,0.3144707361046136,0.137228911925903,8.001761035480614
方案B_LGBM打分,测试集,2021,C,7,0.12054641732718939,0.12903152154103126,0.12054641732718939,0.12903152154103126,-1.3989720849295026,7.71667534455044
方案B_LGBM打分,训练集,2014,A,14,-0.11301441472886584,1.1433108152977602,-0.041966753935948,1.1433108152977602,3.008234775795757,7.572662050441058
方案B_LGBM打分,训练集,2014,B,10,-0.20714931565718725,0.2951063896793492,-0.20714931565718725,0.2951063896793492,-0.04531920872685969,7.702445669667912
方案B_LGBM打分,训练集,2014,C,13,-0.05361552949689205,-1.0890440049645964,-0.05361552949689205,-1.0890440049645964,-1.1415207730579717,7.7693377744738585
方案B_LGBM打分,训练集,2015,A,12,-0.08474167133918893,0.9952849170921713,-0.5525763690104202,0.9952849170921713,3.344467169934234,7.251722925161684
方案B_LGBM打分,训练集,2015,B,14,0.09298505537625945,0.39415980646181287,0.09298505537625945,0.39415980646181287,-0.40623192347206805,7.429637911727541
方案B_LGBM打分,训练集,2015,C,12,-0.4119544037116764,-0.8027518151802298,-0.4119544037116764,-0.8027518151802298,-1.7255200365902919,7.332992165613998
方案B_LGBM打分,训练集,2016,A,12,0.13242369444978336,1.403843735468859,0.13242369444978336,2.3927210201915385,6.7498848967172655,6.750137486656617
方案B_LGBM打分,训练集,2016,B,16,0.05806957827952988,-0.11560543772251977,0.05806957827952988,-0.11560543772251977,-0.037014293023127406,7.375864486871923
方案B_LGBM打分,训练集,2016,C,11,0.6427879167304605,-1.3809926807346284,0.6983685145478217,-1.6253306208679836,-1.2472294857684838,6.724317690167748
方案B_LGBM打分,训练集,2017,A,13,0.3060994714331181,0.2525483867753823,0.3060994714331181,0.2525483867753823,7.2574641614223925,7.307823802604617
方案B_LGBM打分,训练集,2017,B,13,-0.1272206685180872,-0.051440785984792695,-0.1272206685180872,-0.051440785984792695,-0.33932434800706796,7.1535740567778605
方案B_LGBM打分,训练集,2017,C,11,2.4173904197173317,-0.031459934043019805,2.742818922608327,-0.86372482455109,-2.707412394563649,6.908456320318504
