natural_week,natural_week_start,natural_week_end,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2017-01-02/2017-01-08,2017-01-02,2017-01-08,2017-01-06,3313.95,3373.41,3313.95,3347.67,352414192.0,4,0.011356220997679856
2017-01-09/2017-01-15,2017-01-09,2017-01-15,2017-01-13,3345.75,3370.51,3309.37,3319.91,424018272.0,5,-0.008292334668590473
2017-01-16/2017-01-22,2017-01-16,2017-01-22,2017-01-20,3314.15,3358.41,3264.21,3354.89,429315960.0,5,0.01053643020443329
2017-01-23/2017-01-29,2017-01-23,2017-01-29,2017-01-26,3359.05,3395.88,3355.85,3387.96,265445300.0,4,0.009857253143918276
2017-01-30/2017-02-05,2017-01-30,2017-02-05,2017-02-03,3390.93,3392.48,3362.57,3364.49,55188860.0,1,-0.00692747257936932
2017-02-06/2017-02-12,2017-02-06,2017-02-12,2017-02-10,3368.11,3422.33,3347.43,3413.49,429005936.0,5,0.014563871493153524
2017-02-13/2017-02-19,2017-02-13,2017-02-19,2017-02-17,3416.92,3457.56,3416.87,3421.44,565474328.0,5,0.002328994665284023
2017-02-20/2017-02-26,2017-02-20,2017-02-26,2017-02-24,3421.64,3492.96,3421.64,3473.85,545358328.0,5,0.015318111672278256
2017-02-27/2017-03-05,2017-02-27,2017-03-05,2017-03-03,3471.13,3472.84,3412.83,3427.86,448040512.0,5,-0.013238913597305557
2017-03-06/2017-03-12,2017-03-06,2017-03-12,2017-03-10,3427.25,3457.04,3414.68,3427.89,397579872.0,5,8.751816001684176e-06
2017-03-13/2017-03-19,2017-03-13,2017-03-19,2017-03-17,3425.67,3492.13,3412.69,3445.81,457956512.0,5,0.005227705673169325
2017-03-20/2017-03-26,2017-03-20,2017-03-26,2017-03-24,3449.05,3499.32,3429.83,3489.6,501341968.0,5,0.012708187624970613
2017-03-27/2017-04-02,2017-03-27,2017-04-02,2017-03-31,3488.76,3505.98,3422.37,3456.05,504016304.0,5,-0.009614282439248
2017-04-03/2017-04-09,2017-04-03,2017-04-09,2017-04-07,3476.42,3526.81,3475.15,3517.46,420459232.0,3,0.017768840149882115
2017-04-10/2017-04-16,2017-04-10,2017-04-16,2017-04-14,3519.46,3523.1,3466.14,3486.5,755113640.0,5,-0.008801805848538402
2017-04-17/2017-04-23,2017-04-17,2017-04-23,2017-04-21,3475.74,3489.08,3418.51,3466.79,568045368.0,5,-0.005653233902194188
