natural_week,natural_week_start,natural_week_end,herd_trade_date,P_t,H1t,H2t,H3t,H3t_mean_in_week,herd_rows_in_week
2015-06-01/2015-06-07,2015-06-01,2015-06-07,2015-06-05,0.8976377952755905,0.0242452787012558,0.2047244094488188,0.1259963007115425,0.1259963007115425,1
2015-06-08/2015-06-14,2015-06-08,2015-06-14,2015-06-12,0.935897435897436,0.0523811847899178,0.1282051282051282,0.3415100420196637,0.3415100420196637,1
2015-06-15/2015-06-21,2015-06-15,2015-06-21,2015-06-19,0.8775510204081632,-0.0207088204429446,0.2448979591836735,0.0952596979143702,0.0952596979143702,1
2015-06-29/2015-07-05,2015-06-29,2015-07-05,2015-06-29,0.8629032258064516,-0.0398683370888457,0.2741935483870967,0.1787585078407606,0.1787585078407606,1
2015-07-06/2015-07-12,2015-07-06,2015-07-12,2015-07-06,0.8974358974358975,0.003938528088987,0.2051282051282051,0.009498730193416,0.009498730193416,1
2015-07-13/2015-07-19,2015-07-13,2015-07-19,2015-07-13,0.8787878787878788,-0.0146590160991082,0.2424242424242424,0.0644183789918075,0.0644183789918075,1
2015-07-20/2015-07-26,2015-07-20,2015-07-26,2015-07-20,0.8295454545454546,-0.0496240510641432,0.3409090909090909,0.1805703293568379,0.1805703293568379,1
2015-07-27/2015-08-02,2015-07-27,2015-08-02,2015-07-27,0.8208092485549133,-0.0463588655890073,0.3583815028901734,0.1572454991004392,0.1572454991004392,1
2015-08-03/2015-08-09,2015-08-03,2015-08-09,2015-08-03,0.8152866242038217,-0.0413579956272143,0.3694267515923567,0.1333126103349067,0.1333126103349067,1
2015-08-10/2015-08-16,2015-08-10,2015-08-16,2015-08-10,0.7951219512195122,-0.0409853503035048,0.4097560975609756,0.1100078677950229,0.1100078677950229,1
2015-08-17/2015-08-23,2015-08-17,2015-08-23,2015-08-17,0.8009950248756219,-0.0141957947553036,0.3980099502487562,0.0358404484506292,0.0358404484506292,1
2015-08-24/2015-08-30,2015-08-24,2015-08-30,2015-08-24,0.7731481481481481,-0.0349050640653192,0.4537037037037037,0.0724877645133353,0.0724877645133353,1
2015-08-31/2015-09-06,2015-08-31,2015-09-06,2015-08-31,0.6947368421052632,-0.1014010950065127,0.6105263157894737,0.000818214634147,0.000818214634147,1
2015-09-07/2015-09-13,2015-09-07,2015-09-13,2015-09-09,0.7480916030534351,-0.0179088885337012,0.5038167938931297,0.0236689089263437,0.0236689089263437,1
2015-09-14/2015-09-20,2015-09-14,2015-09-20,2015-09-16,0.9032258064516128,0.1489829019059958,0.1935483870967742,0.8646874107907507,0.8646874107907507,1
2015-09-21/2015-09-27,2015-09-21,2015-09-27,2015-09-23,0.8323699421965318,0.052569342256917,0.3352601156069364,0.1958138653189015,0.1958138653189015,1
2015-09-28/2015-10-04,2015-09-28,2015-10-04,2015-09-30,0.8148148148148148,0.0202087663631039,0.3703703703703703,0.0609224071896562,0.0609224071896562,1
2015-10-12/2015-10-18,2015-10-12,2015-10-18,2015-10-14,0.7817460317460317,-0.0428795098830668,0.4365079365079365,0.1000607506883103,0.1000607506883103,1
2015-10-19/2015-10-25,2015-10-19,2015-10-25,2015-10-21,0.7920353982300885,-0.0410037505721593,0.415929203539823,0.1066859613040669,0.1066859613040669,1
