code,period,start,end,obs,alpha_daily,alpha_annual,alpha_t,alpha_pvalue,beta,beta_t,beta_pvalue,r2,stock_total_return,market_total_return,alpha_rank
sh.601166,2019-2021,2019-01-01,2021-12-31,729,-0.00014701806127794703,-0.03704855144204265,-0.2600714149361801,0.794882323996158,0.8495396999322822,19.39812169836949,7.143892867326037e-68,0.3410600167022585,0.29172320217096503,0.6636858295995842,25
sh.600019,2019-2021,2019-01-01,2021-12-31,729,-0.000165186760298372,-0.041627063595189744,-0.2161605628712584,0.8289232291683828,0.7265151545249174,12.271565688094158,1.3549997610122553e-31,0.17159618633853602,0.12755905511811094,0.6636858295995842,26
sh.600837,2019-2021,2019-01-01,2021-12-31,729,-0.00020496556851929074,-0.05165132326686127,-0.3526017049167155,0.7244892574029984,1.161642219697256,25.794668815982014,1.1072246349041435e-104,0.47786677223299223,0.39954337899543413,0.6636858295995842,27
sh.600570,2019-2021,2019-01-01,2021-12-31,729,-0.00022153734595379922,-0.0558274111803574,-0.22409710711791644,0.8227447055542122,1.3435612762105769,17.542878350108012,1.0177210467171307e-57,0.29741658683930583,0.22996239857510914,0.6636858295995842,28
sh.601658,2019-2021,2019-01-01,2021-12-31,501,-0.0003310326189748994,-0.08342021998167465,-0.4929172621504143,0.6222878797237421,0.41716359414720955,8.060806667925759,5.6486982630594045e-15,0.11521152413232805,-0.09090909090908994,0.2666376695217689,29
sh.601727,2019-2021,2019-01-01,2021-12-31,729,-0.00038043520214721144,-0.09586967094109729,-0.5126057165831376,0.6083828574218244,0.7472029615074675,12.995572174807576,7.159862321456e-35,0.18851182431614155,-0.018181818181817744,0.6636858295995842,30
sh.600919,2019-2021,2019-01-01,2021-12-31,729,-0.0004108188279351522,-0.10352634463965836,-0.8261371972418279,0.40899730131220546,0.6179473375391633,16.040111207309106,8.491914752102762e-50,0.26139291338213155,-0.018518518518513938,0.6636858295995842,31
sh.601398,2019-2021,2019-01-01,2021-12-31,729,-0.0004547677215973663,-0.1146014658425363,-1.3842564996804905,0.16670468281011658,0.3987701376221315,15.66764200213451,6.952719734667351e-48,0.25242294600475557,-0.109615384615386,0.6636858295995842,32
sh.600276,2019-2021,2019-01-01,2021-12-31,729,-0.00046658569430661507,-0.117579594965267,-0.6257459793026366,0.5316779574975727,0.8479830522618013,14.679386086504087,6.435271509336839e-43,0.2286344276807959,-0.04266565980743475,0.6636858295995842,33
sh.601211,2019-2021,2019-01-01,2021-12-31,729,-0.0004672032512968667,-0.1177352193268104,-0.9692587655315457,0.3327384406746846,1.1038200174790045,29.558760477239392,1.0025129300549562e-126,0.5458294678434703,0.16168831168831255,0.6636858295995842,34
sh.600009,2019-2021,2019-01-01,2021-12-31,729,-0.0004693262042747544,-0.1182702034772381,-0.6317851353356643,0.5277258975039427,0.7676669199418049,13.338945519423314,1.8216315410111133e-36,0.19662069496896073,-0.07324335053592756,0.6636858295995842,35
