week,week_start,week_end,week_id,open,high,low,close,volume,return
2012-07-31,2012-07-25,2012-07-31,169,2368.38,2381.04,2329.5,2332.92,149885694.0,-0.018127180669952225
2012-08-07,2012-08-01,2012-08-07,170,2332.13,2390.78,2325.61,2388.87,172812944.0,0.023982819813795464
2012-08-14,2012-08-08,2012-08-14,171,2390.96,2413.42,2324.91,2357.02,192806008.0,-0.013332663560595592
2012-08-21,2012-08-15,2012-08-21,172,2350.02,2350.02,2279.95,2313.7,144845928.0,-0.01837913976122396
2012-08-28,2012-08-22,2012-08-28,173,2315.14,2317.37,2222.0,2238.41,166073154.0,-0.0325409517223495
2012-09-04,2012-08-29,2012-09-04,174,2230.2,2240.11,2188.72,2204.41,163868226.0,-0.015189353156928376
2012-09-11,2012-09-05,2012-09-11,175,2199.74,2341.52,2186.96,2311.89,272568740.0,0.04875681021225642
2012-09-18,2012-09-12,2012-09-18,176,2325.93,2337.2,2228.04,2235.24,235457616.0,-0.03315469161595064
2012-09-25,2012-09-19,2012-09-25,177,2237.22,2249.24,2172.88,2210.15,180394784.0,-0.01122474544120533
2012-10-09,2012-09-26,2012-10-09,178,2208.91,2327.73,2181.08,2320.16,226430662.0,0.04977490215596214
2012-10-16,2012-10-10,2012-10-16,179,2314.59,2332.15,2278.46,2298.16,181572466.0,-0.00948210468243571
2012-10-23,2012-10-17,2012-10-23,180,2307.36,2347.9,2280.82,2312.08,191481800.0,0.006057019528666441
2012-10-30,2012-10-24,2012-10-30,181,2303.4,2322.92,2227.65,2239.88,184458944.0,-0.031227293173246573
2012-11-06,2012-10-31,2012-11-06,182,2241.43,2318.23,2233.68,2292.21,206555812.0,0.023362858724574442
2012-11-13,2012-11-07,2012-11-13,183,2288.76,2300.89,2208.72,2212.44,167806236.0,-0.0348004763961417
2012-11-20,2012-11-14,2012-11-20,184,2213.09,2225.12,2149.54,2164.88,136253310.0,-0.0214966281571477
2012-11-27,2012-11-21,2012-11-27,185,2165.41,2202.47,2150.22,2150.64,138777768.0,-0.00657773179113863
2012-12-04,2012-11-28,2012-12-04,186,2142.5,2152.61,2102.14,2131.47,172499552.0,-0.008913625711416184
2012-12-11,2012-12-05,2012-12-11,187,2128.39,2276.28,2126.79,2258.5,332075712.0,0.05959736707530494
2012-12-18,2012-12-12,2012-12-18,188,2257.73,2398.63,2242.56,2368.12,377714156.0,0.04853663936240871
2012-12-25,2012-12-19,2012-12-25,189,2362.8,2459.3,2346.55,2448.4,346251508.0,0.03390030910595754
2013-01-04,2012-12-26,2013-01-04,190,2445.99,2558.53,2441.64,2524.41,392003688.0,0.031044763927462693
2013-01-11,2013-01-07,2013-01-11,191,2518.05,2553.35,2473.7,2483.23,362561304.0,-0.01631272257676042
2013-01-18,2013-01-14,2013-01-18,192,2474.18,2607.45,2474.0,2595.44,433566520.0,0.04518711516855056
2013-01-25,2013-01-21,2013-01-25,193,2605.65,2663.4,2564.21,2571.67,435403984.0,-0.009158370064420662
2013-02-01,2013-01-28,2013-02-01,194,2577.27,2744.32,2577.27,2743.32,492809632.0,0.06674651102202067
2013-02-08,2013-02-04,2013-02-08,195,2753.69,2791.3,2722.87,2771.73,494257056.0,0.010356064914045726
2013-02-22,2013-02-18,2013-02-22,196,2784.06,2787.74,2584.76,2596.6,387946868.0,-0.06318436499947688
2013-03-01,2013-02-25,2013-03-01,197,2607.15,2680.85,2564.67,2668.84,356658096.0,0.027820996687976773
2013-03-08,2013-03-04,2013-03-08,198,2619.42,2658.97,2528.69,2606.93,449622124.0,-0.02319734416450603
2013-03-15,2013-03-11,2013-03-15,199,2600.28,2619.51,2504.46,2539.87,308289980.0,-0.025723744020744732
2013-03-22,2013-03-18,2013-03-22,200,2526.08,2626.54,2491.85,2618.31,330249768.0,0.030883470413840097
2013-03-29,2013-03-25,2013-03-29,201,2628.41,2641.61,2482.49,2495.08,317111420.0,-0.04706470967914422
2013-04-09,2013-04-01,2013-04-09,202,2486.43,2524.46,2429.5,2489.43,254280992.0,-0.002264456450294161
2013-04-16,2013-04-10,2013-04-16,203,2487.98,2508.59,2416.62,2459.59,232232500.0,-0.01198667968169409
2013-04-23,2013-04-17,2013-04-23,204,2457.88,2542.45,2434.73,2449.47,286239620.0,-0.00411450688935977
2013-05-03,2013-04-24,2013-05-03,205,2452.78,2521.12,2423.08,2492.91,280078400.0,0.017734448676652415
2013-05-10,2013-05-06,2013-05-10,206,2502.98,2562.01,2500.46,2540.84,283520592.0,0.019226526428952617
2013-05-17,2013-05-13,2013-05-17,207,2542.41,2598.71,2479.87,2592.05,305808856.0,0.020154751971788842
2013-05-24,2013-05-20,2013-05-24,208,2597.15,2630.07,2572.88,2597.23,377600644.0,0.0019984182403887107
2013-05-31,2013-05-27,2013-05-31,209,2593.52,2661.23,2585.9,2606.43,360343804.0,0.003542235381541081
2013-06-07,2013-06-03,2013-06-07,210,2605.97,2625.94,2475.69,2484.16,285254836.0,-0.04691090879095161
2013-06-19,2013-06-13,2013-06-19,211,2448.72,2448.72,2366.35,2400.77,279066952.0,-0.033568691227618186
2013-06-26,2013-06-20,2013-06-26,212,2386.1,2386.1,2023.17,2168.3,387315380.0,-0.09683143324849941
2013-07-03,2013-06-27,2013-07-03,213,2172.85,2227.46,2139.37,2203.83,340259180.0,0.01638610893326553
2013-07-10,2013-07-04,2013-07-10,214,2187.18,2252.03,2149.79,2224.07,291829624.0,0.00918401147093939
2013-07-17,2013-07-11,2013-07-17,215,2232.16,2351.22,2232.16,2282.84,423563564.0,0.026424528004963754
2013-07-24,2013-07-18,2013-07-24,216,2272.95,2282.43,2159.81,2249.15,325365100.0,-0.014757933100874365
2013-07-31,2013-07-25,2013-07-31,217,2255.22,2268.84,2162.98,2193.02,272837016.0,-0.024956094524598238
2013-08-07,2013-08-01,2013-08-07,218,2206.0,2313.88,2200.63,2280.62,325632632.0,0.039944916143035636
2013-08-14,2013-08-08,2013-08-14,219,2277.25,2386.6,2258.33,2349.08,369897424.0,0.03001815295840604
2013-08-21,2013-08-15,2013-08-21,220,2348.84,2423.08,2284.08,2308.59,382898364.0,-0.017236535154187882
2013-08-28,2013-08-22,2013-08-28,221,2302.67,2345.36,2251.92,2328.06,349922788.0,0.008433719283198693
2013-09-04,2013-08-29,2013-09-04,222,2338.56,2360.66,2297.45,2350.7,392529944.0,0.009724835270568555
2013-09-11,2013-09-05,2013-09-11,223,2350.93,2504.47,2335.93,2482.89,607952104.0,0.05623431318330718
2013-09-18,2013-09-12,2013-09-18,224,2480.47,2527.38,2407.24,2432.51,531832240.0,-0.020290870719202103
2013-09-27,2013-09-23,2013-09-27,225,2441.52,2473.16,2379.86,2394.97,420708060.0,-0.015432618982039292
2013-10-11,2013-09-30,2013-10-11,226,2406.21,2471.16,2392.57,2468.51,404295112.0,0.030706021369787617
2013-10-18,2013-10-14,2013-10-18,227,2472.27,2483.13,2407.78,2426.05,409748736.0,-0.017200659507152105
2013-10-25,2013-10-21,2013-10-25,228,2431.92,2474.37,2353.99,2368.56,408789180.0,-0.02369695595721455
2013-11-01,2013-10-28,2013-11-01,229,2372.57,2408.62,2327.9,2384.96,407584832.0,0.006924038234201513
2013-11-08,2013-11-04,2013-11-08,230,2397.21,2404.9,2306.04,2307.95,286269868.0,-0.03228984972494309
2013-11-15,2013-11-11,2013-11-15,231,2305.94,2377.21,2279.01,2350.73,301977956.0,0.018535930154466085
2013-11-22,2013-11-18,2013-11-22,232,2367.88,2435.43,2361.04,2397.96,423682080.0,0.02009163111033585
2013-11-29,2013-11-25,2013-11-29,233,2385.78,2460.56,2380.41,2438.94,353088840.0,0.017089526097182617
2013-12-06,2013-12-02,2013-12-06,234,2423.97,2486.64,2397.01,2452.29,440584120.0,0.005473689389652758
2013-12-13,2013-12-09,2013-12-13,235,2460.03,2468.95,2386.25,2406.64,293830368.0,-0.018615253497751172
2013-12-20,2013-12-16,2013-12-20,236,2408.68,2412.73,2278.1,2278.14,266380660.0,-0.05339394342319581
2013-12-27,2013-12-23,2013-12-27,237,2283.8,2315.18,2259.57,2303.48,240071500.0,0.011123109203121873
2014-01-06,2013-12-30,2014-01-06,238,2313.38,2333.07,2229.33,2238.64,276322720.0,-0.028148714119506146
2014-01-13,2014-01-07,2014-01-13,239,2222.31,2262.58,2183.6,2193.68,255381064.0,-0.020083622199192352
2014-01-20,2014-01-14,2014-01-20,240,2192.84,2227.26,2156.46,2165.99,246144556.0,-0.012622624995441423
2014-01-27,2014-01-21,2014-01-27,241,2168.42,2257.36,2168.42,2215.92,298805496.0,0.02305181464365047
2014-02-10,2014-01-28,2014-02-10,242,2220.78,2270.19,2177.12,2267.53,280649176.0,0.023290552005487575
2014-02-17,2014-02-11,2014-02-17,243,2267.74,2315.58,2262.6,2311.65,426954444.0,0.01945729494207349
2014-02-24,2014-02-18,2014-02-24,244,2310.31,2331.7,2194.16,2214.51,458426768.0,-0.04202193238595797
2014-03-03,2014-02-25,2014-03-03,245,2216.51,2225.21,2133.55,2190.37,420075512.0,-0.010900831335148742
2014-03-10,2014-03-04,2014-03-10,246,2183.86,2189.39,2095.07,2097.79,339176616.0,-0.04226683163118561
2014-03-17,2014-03-11,2014-03-17,247,2092.61,2149.44,2088.73,2143.04,307944200.0,0.021570319240724833
2014-03-24,2014-03-18,2014-03-24,248,2146.12,2186.73,2077.76,2176.55,390806116.0,0.015636665671196148
