rank,y_asset,x_asset,alpha,beta,r_squared,residual_mean,residual_std,adf_stat,p_value,critical_5pct,is_cointegrated,conclusion
16,上证50指数（000016.SH）,招商银行（600036.SH）,1675.8636563525156,40.29801522880078,0.24370644768591765,5.804862358856722e-12,271.9280880011724,-1.9622549754116942,0.3033641417200631,-2.865613606467485,False,未通过协整检验
17,上证50指数（000016.SH）,泸州老窖（000568.SZ）,2159.4467171728697,8.614002252410241,0.13606642243788525,2.0227559760742175e-12,290.63575852699796,-1.9511990017657137,0.3083716918785933,-2.865613606467485,False,未通过协整检验
18,中国石油（601857.SH）,招商银行（600036.SH）,10.72404954098277,-0.1008823612261956,0.04561343484545277,-6.833635054304788e-15,1.7676233575563676,-1.867904215461714,0.3473072915592207,-2.8655292671104644,False,未通过协整检验
19,上证50指数（000016.SH）,长江电力（600900.SH）,1443.9093592491113,74.74648231284172,0.1312880819335206,-1.4810350881329651e-12,291.4383906231008,-1.8575523474688382,0.3522855546218685,-2.865613606467485,False,未通过协整检验
20,中国石油（601857.SH）,泸州老窖（000568.SZ）,10.33499356719815,-0.04567962899189337,0.1142743432279133,6.600670222908035e-15,1.7028531053976985,-1.796786016347106,0.3820585107572189,-2.8655292671104644,False,未通过协整检验
21,中国石油（601857.SH）,贵州茅台（600519.SH）,10.380218690855937,-0.00495854176356955,0.1287814214775279,1.3434305277212824e-14,1.6888502294468908,-1.7765878590977093,0.39214554595152595,-2.8655292671104644,False,未通过协整检验
22,中国石油（601857.SH）,长江电力（600900.SH）,12.640798442564508,-0.2860972817023487,0.05744256740732645,3.867216201186119e-14,1.75663480903455,-1.766660824265111,0.3971347210215944,-2.8655292671104644,False,未通过协整检验
23,工商银行（601398.SH）,长江电力（600900.SH）,1.411662208477282,0.2537610071038562,0.4516010229621943,7.901390531539912e-15,0.42386397994497793,-1.7203164138777876,0.4206764156289109,-2.865534780932388,False,未通过协整检验
24,中国石油（601857.SH）,工商银行（601398.SH）,4.961911864982383,0.7890760604476121,0.06230730634846815,-1.2968375614419315e-14,1.7520957621889046,-1.6140169193772351,0.47586735800111274,-2.8655292671104644,False,未通过协整检验
25,招商银行（600036.SH）,长江电力（600900.SH）,-9.179818324666924,2.1084814611237714,0.6961192655326387,-3.028542808157804e-14,2.11159345323303,-1.4972823153018064,0.5348553077174464,-2.8655182850048306,False,未通过协整检验
26,泸州老窖（000568.SZ）,长江电力（600900.SH）,-54.81852039936153,6.58469082017697,0.5556144820700831,-4.6903586054546506e-14,8.926050114898667,-1.0311631548807128,0.7417292819718553,-2.8655128165959236,False,未通过协整检验
27,上证50指数（000016.SH）,兴蓉环境（000598.SZ）,1549.8447705351105,138.23740672539432,0.4376104748569035,2.0774250565086556e-12,234.49170350535587,-0.5143651314317874,0.8891826213615409,-2.8655794463678346,False,未通过协整检验
28,贵州茅台（600519.SH）,长江电力（600900.SH）,-524.5877694607232,62.786551961831464,0.5281951186452069,4.1747297786298346e-13,89.94590997448748,-0.3266710276151825,0.9216410547193427,-2.8655128165959236,False,未通过协整检验
