date,portfolio_value,action,holding,cash,market_value,cum_return,market_cum_return,peak,drawdown
2023-09-01,905793.3064740002,hold,招商银行,6.676474000097869,1003115.1749355311,-0.09420669352599975,0.003115174935531151,1001508.5964740001,-0.09557111175778585
2023-09-04,941160.2464740002,hold,招商银行,6.676474000097869,1017142.1862872243,-0.058839753525999794,0.017142186287224304,1001508.5964740001,-0.06025744582968905
2023-09-05,929371.2664740001,hold,招商银行,6.676474000097869,1009877.6174186246,-0.07062873352599996,0.009877617418624585,1001508.5964740001,-0.07202866780572144
2023-09-06,936388.5164740001,hold,招商银行,6.676474000097869,1011064.6129471259,-0.06361148352599999,0.011064612947125907,1001508.5964740001,-0.06502198805808317
2023-09-07,930213.3364740001,hold,招商银行,6.676474000097869,999627.3110651829,-0.06978666352599983,-0.0003726889348171225,1001508.5964740001,-0.07118786623600477
2023-09-08,931055.4064740002,hold,招商银行,6.676474000097869,997823.8308593481,-0.0689445935259998,-0.0021761691406518846,1001508.5964740001,-0.07034706466628812
2023-09-11,923757.466474,hold,招商银行,6.676474000097869,1006166.9597764878,-0.07624253352599997,0.006166959776487735,1001508.5964740001,-0.0776340116038321
2023-09-12,922915.3964740002,hold,招商银行,6.676474000097869,1004335.7864232761,-0.07708460352599977,0.0043357864232760335,1001508.5964740001,-0.07847481317354851
2023-09-13,919266.4264740001,hold,招商银行,6.676474000097869,999856.0916792369,-0.08073357352599986,-0.00014390832076316418,1001508.5964740001,-0.0821182866423205
2023-09-14,928248.506474,hold,招商银行,6.676474000097869,1000971.5652525468,-0.07175149352599997,0.0009715652525468244,1001508.5964740001,-0.07314973656534357
2023-09-15,925160.9164740001,hold,招商银行,6.676474000097869,998151.762545572,-0.07483908352599988,-0.00184823745442797,1001508.5964740001,-0.07623267565430437
2023-09-18,926845.0564740002,hold,招商银行,6.676474000097869,1000773.3271386056,-0.07315494352599983,0.0007733271386056728,1001508.5964740001,-0.07455107251487106
2023-09-19,925160.9164740001,hold,招商银行,6.676474000097869,1000461.1149152282,-0.07483908352599988,0.00046111491522826675,1001508.5964740001,-0.07623267565430437
2023-09-20,918705.046474,hold,招商银行,6.676474000097869,995214.2079356458,-0.08129495352600002,-0.004785792064354144,1001508.5964740001,-0.08267882102213168
2023-09-21,908600.206474,hold,招商银行,6.676474000097869,987573.1723387141,-0.09139979352600003,-0.012426827661285889,1001508.5964740001,-0.09276843985873076
2023-09-22,935827.1364740002,hold,招商银行,6.676474000097869,1002854.2190462006,-0.06417286352599982,0.0028542190462006456,1001508.5964740001,-0.06558252243789411
2023-09-25,926283.6764740001,hold,招商银行,6.676474000097869,997467.8218433558,-0.07371632352599988,-0.0025321781566441937,1001508.5964740001,-0.07511160689468224
2023-09-26,920669.876474,hold,招商银行,6.676474000097869,993198.7550953791,-0.079330123526,-0.006801244904620973,1001508.5964740001,-0.0807169506927929
2023-09-27,921231.256474,hold,招商银行,6.676474000097869,994813.2815950637,-0.07876874352599994,-0.00518671840493623,1001508.5964740001,-0.08015641631298183
2023-09-28,925441.606474,hold,招商银行,6.676474000097869,995824.8658467105,-0.07455839352600002,-0.004175134153289517,1001508.5964740001,-0.0759524084643989
2023-10-09,914494.696474,hold,招商银行,6.676474000097869,991485.8779035064,-0.08550530352600005,-0.008514122096493604,1001508.5964740001,-0.08688282887071462
2023-10-10,914775.3864740002,hold,招商银行,6.676474000097869,984542.965742072,-0.08522461352599986,-0.015457034257927993,1001508.5964740001,-0.08660256168080892
2023-10-11,910845.7264740001,hold,招商银行,6.676474000097869,985733.7710792874,-0.0891542735259998,-0.01426622892071261,1001508.5964740001,-0.09052630233948637
2023-10-12,928248.506474,hold,招商银行,6.676474000097869,995000.6025260505,-0.07175149352599997,-0.004999397473949507,1001508.5964740001,-0.07314973656534357
2023-10-13,915336.7664740001,hold,招商银行,6.676474000097869,988661.080825444,-0.08466323352599991,-0.011338919174555984,1001508.5964740001,-0.08604202730099797
2023-10-16,906916.0664740001,hold,招商银行,6.676474000097869,984087.35744112,-0.09308393352599986,-0.01591264255888003,1001508.5964740001,-0.09445004299816384
2023-10-17,912810.5564740002,hold,招商银行,6.676474000097869,987187.5172481886,-0.08718944352599978,-0.01281248275181135,1001508.5964740001,-0.08856443201014759
2023-10-18,911968.4864740002,hold,招商银行,6.676474000097869,979252.0378634798,-0.0880315135259998,-0.020747962136520193,1001508.5964740001,-0.08940523357986424
2023-10-19,886145.006474,hold,招商银行,6.676474000097869,962182.6861546172,-0.11385499352599993,-0.03781731384538278,1001508.5964740001,-0.11518981505117315
2023-10-20,888390.5264740001,hold,招商银行,6.676474000097869,955032.1234106534,-0.11160947352599992,-0.044967876589346534,1001508.5964740001,-0.11294767753192889
2023-10-23,876601.5464740001,hold,招商银行,6.676474000097869,941019.9671114259,-0.12339845352599987,-0.05898003288857401,1001508.5964740001,-0.12471889950796115
2023-10-24,878566.3764740002,hold,招商银行,6.676474000097869,948368.2237109432,-0.12143362352599985,-0.0516317762890568,1001508.5964740001,-0.12275702917862237
2023-10-25,881934.6564740002,hold,招商银行,6.676474000097869,952168.3638350674,-0.11806534352599984,-0.04783163616493258,1001508.5964740001,-0.11939382289975597
2023-10-26,884180.1764740001,hold,招商银行,6.676474000097869,956709.9439593145,-0.11581982352599995,-0.043290056040685476,1001508.5964740001,-0.11715168538051182
2023-10-27,885022.2464740002,hold,招商银行,6.676474000097869,966149.6254669897,-0.11497775352599982,-0.03385037453301032,1001508.5964740001,-0.11631088381079517
2023-10-30,867338.7764740001,hold,招商银行,6.676474000097869,967356.3423582471,-0.13266122352599996,-0.03264365764175281,1001508.5964740001,-0.13396771677484368
2023-10-31,863409.1164740002,hold,招商银行,6.676474000097869,966465.4233926865,-0.1365908835259998,-0.033534576607313515,1001508.5964740001,-0.13789145743352102
2023-11-01,854707.726474,hold,招商银行,6.676474000097869,967843.9658584793,-0.14529227352599994,-0.032156034141520684,1001508.5964740001,-0.14657974032059262
2023-11-02,861163.5964740001,hold,招商银行,6.676474000097869,963467.2640105236,-0.1388364035259999,-0.036532735989476484,1001508.5964740001,-0.14013359495276528
2023-11-03,869864.986474,hold,招商银行,6.676474000097869,970315.923425278,-0.130135013526,-0.02968407657472194,1001508.5964740001,-0.13144531206569396
2023-11-06,874075.3364740001,hold,招商银行,6.676474000097869,979156.2163720351,-0.12592466352599985,-0.020843783627964907,1001508.5964740001,-0.12724130421711088
2023-11-07,864531.8764740002,hold,招商银行,6.676474000097869,978790.9869786501,-0.1354681235259998,-0.02120901302134992,1001508.5964740001,-0.1367703886738989
2023-11-08,858918.0764740001,hold,招商银行,6.676474000097869,977223.1706547148,-0.1410819235259999,-0.022776829345285243,1001508.5964740001,-0.14237573247200955
2023-11-09,860602.2164740001,hold,招商银行,6.676474000097869,977513.4204513861,-0.13939778352599985,-0.022486579548613883,1001508.5964740001,-0.14069412933257636
2023-11-10,846567.7164740001,hold,招商银行,6.676474000097869,972932.2695408291,-0.1534322835259999,-0.02706773045917088,1001508.5964740001,-0.1547074888278529
2023-11-13,837024.256474,hold,招商银行,6.676474000097869,975353.5790623671,-0.16297574352599997,-0.024646420937632918,1001508.5964740001,-0.164236573284641
2023-11-14,847690.476474,hold,招商银行,6.676474000097869,978406.996678487,-0.15230952352600002,-0.021593003321512927,1001508.5964740001,-0.15358642006823087
