date,stock_value,market_value,stock_cum_return,market_cum_return
2023-08-03,1076380.0904977378,1028779.2718098935,0.07638009049773764,0.028779271809893592
2023-08-04,1085520.36199095,1032785.3107299643,0.08552036199095014,0.03278531072996427
2023-08-07,1064298.6425339368,1024969.6136426389,0.06429864253393669,0.024969613642638944
2023-08-08,1067420.814479638,1022292.7474725642,0.06742081447963799,0.022292747472564267
2023-08-09,1073755.6561085973,1019167.352286803,0.07375565610859725,0.019167352286802997
2023-08-10,1072398.190045249,1021261.2411926314,0.07239819004524883,0.021261241192631397
2023-08-11,1052850.6787330317,997766.7565377258,0.05285067873303162,-0.0022332434622741593
2023-08-14,1040271.4932126697,990484.9479483118,0.04027149321266976,-0.009515052051688233
2023-08-15,1037692.3076923077,988077.9287119629,0.03769230769230769,-0.011922071288037128
2023-08-16,1039276.0180995475,980833.5724623272,0.039276018099547505,-0.019166427537672837
2023-08-17,1063665.1583710406,984113.0925031436,0.06366515837104059,-0.015886907496856395
2023-08-18,1039366.515837104,972015.0620055851,0.03936651583710393,-0.027984937994414927
2023-08-21,1035746.6063348417,958028.5396590352,0.035746606334841724,-0.04197146034096488
2023-08-22,1035429.8642533937,965393.6784200825,0.03542986425339367,-0.0346063215799175
2023-08-23,1015746.6063348415,949571.9400494386,0.015746606334841484,-0.05042805995056143
2023-08-24,1055656.108597285,956455.0019513491,0.05565610859728509,-0.043544998048650974
2023-08-25,1047963.8009049775,952787.4469004554,0.04796380090497743,-0.04721255309954464
2023-08-28,1032986.4253393665,963953.2018372607,0.032986425339366576,-0.03604679816273926
2023-08-29,1058144.7963800905,973582.742968779,0.05814479638009051,-0.026417257031220887
2023-08-30,1055475.113122172,973172.5139795739,0.055475113122172015,-0.026827486020426172
2023-08-31,1051131.221719457,967202.2565317278,0.051131221719457054,-0.032797743468272134
2023-09-01,1076018.0995475112,973938.386071819,0.07601809954751126,-0.02606161392818096
