date,code,close,volume,amount,name,display_code,log_return
2024-03-04,sh.600519,1676.3,2648477,4434401015.25,贵州茅台,600519.SH,-0.005212187823874004
2024-03-05,sh.600519,1695.1,3623837,6102136582.12,贵州茅台,600519.SH,0.011152752487207707
2024-03-06,sh.600519,1680.55,2214248,3725582802.23,贵州茅台,600519.SH,-0.008620615352205263
2024-03-07,sh.600519,1683.63,2159912,3633934773.86,贵州茅台,600519.SH,0.0018310559247973757
2024-03-08,sh.600519,1671.43,2215623,3710678521.73,贵州茅台,600519.SH,-0.007272629266008579
2024-03-11,sh.600519,1694.49,2989509,5048394347.37,贵州茅台,600519.SH,0.013702263152814531
2024-03-12,sh.600519,1745.0,5422654,9393309052.2,贵州茅台,600519.SH,0.029372745052689275
2024-03-13,sh.600519,1727.45,2649954,4588879420.47,贵州茅台,600519.SH,-0.010108222973633119
2024-03-14,sh.600519,1716.63,1940479,3338768307.9,贵州茅台,600519.SH,-0.006283266124635034
2024-03-15,sh.600519,1717.49,1783358,3066692399.05,贵州茅台,600519.SH,0.0005008561249919552
2024-03-18,sh.600519,1708.26,2605501,4446059129.61,贵州茅台,600519.SH,-0.00538861407540292
2024-03-19,sh.600519,1708.02,2394753,4093701260.68,贵州茅台,600519.SH,-0.00014050370601648154
2024-03-20,sh.600519,1709.6,1524925,2604543856.37,贵州茅台,600519.SH,0.0009246201231061235
2024-03-21,sh.600519,1709.0,1659597,2839332631.35,贵州茅台,600519.SH,-0.0003510208893473532
2024-03-22,sh.600519,1701.35,2545614,4318592818.22,贵州茅台,600519.SH,-0.00448635056881308
2024-03-25,sh.600519,1689.01,2447285,4131446236.95,贵州茅台,600519.SH,-0.007279495093389876
2024-03-26,sh.600519,1709.29,2806907,4782899074.34,贵州茅台,600519.SH,0.011935521143625394
2024-03-27,sh.600519,1701.0,1811258,3087792980.39,贵州茅台,600519.SH,-0.0048617662011514184
2024-03-28,sh.600519,1701.64,2464218,4201857059.18,贵州茅台,600519.SH,0.0003761785011331398
2024-03-29,sh.600519,1702.9,1345655,2290584417.12,贵州茅台,600519.SH,0.0007401881355644235
2024-04-01,sh.600519,1721.33,2713137,4679371034.95,贵州茅台,600519.SH,0.010764567780642942
2024-04-02,sh.600519,1713.99,2544925,4360973684.11,贵州茅台,600519.SH,-0.004273261978214649
2024-04-03,sh.600519,1715.11,2904580,5002390041.83,贵州茅台,600519.SH,0.0006532326498653873
2024-04-08,sh.600519,1666.66,5916659,9907355766.28,贵州茅台,600519.SH,-0.02865559474472512
2024-04-09,sh.600519,1662.22,2558982,4256226332.6,贵州茅台,600519.SH,-0.002667565447167952
2024-04-10,sh.600519,1647.98,2763050,4562853879.72,贵州茅台,600519.SH,-0.008603762819514138
2024-04-11,sh.600519,1648.0,2276624,3736417594.65,贵州茅台,600519.SH,1.2135995971718216e-05
2024-04-12,sh.600519,1634.03,2674433,4403968129.45,贵州茅台,600519.SH,-0.008513075364888323
